Flight ID,Flight Date,Airline,Flight Number,Departure Airport,Arrival Airport,Scheduled Departure Time,Actual Departure Time,Departure Delay (Minutes),Scheduled Arrival Time,Actual Arrival Time,Arrival Delay (Minutes),Passenger Count,Terminal,Gate Number,Flight Status
974013,1/4/2024,American Airlines,LU874,ATL,SYD,1/4/2024 23:00,1/4/2024 23:10,114,1/5/2024 3:00,1/5/2024 3:15,87,388,Terminal 4,G16,Delayed
829323,1/4/2024,Delta,EM202,LAX,SYD,1/5/2024 0:00,1/5/2024 0:10,22,1/5/2024 4:00,1/5/2024 4:15,56,323,Terminal 5,G10,Cancelled
198121,1/4/2024,Lufthansa,DE755,ORD,CDG,1/5/2024 1:00,1/5/2024 1:10,-3,1/5/2024 5:00,1/5/2024 5:15,167,388,Terminal 3,G18,On Time
224675,1/4/2024,Delta,UN309,DFW,SYD,1/5/2024 2:00,1/5/2024 2:10,15,1/5/2024 6:00,1/5/2024 6:15,180,293,Terminal 4,G36,Delayed
904073,1/4/2024,Emirates,EM303,LAX,LHR,1/5/2024 3:00,1/5/2024 3:10,54,1/5/2024 7:00,1/5/2024 7:15,168,335,Terminal 1,G45,Delayed
601467,1/4/2024,Lufthansa,UN200,LAX,SYD,1/5/2024 4:00,1/5/2024 4:10,50,1/5/2024 8:00,1/5/2024 8:15,34,200,Terminal 5,G31,Delayed
556606,1/4/2024,Delta,DE340,DFW,LHR,1/5/2024 5:00,1/5/2024 5:10,74,1/5/2024 9:00,1/5/2024 9:15,78,128,Terminal 1,G32,Delayed
560205,1/5/2024,Delta,UN759,DFW,SYD,1/5/2024 6:00,1/5/2024 6:10,10,1/5/2024 10:00,1/5/2024 10:15,95,391,Terminal 4,G13,Cancelled
449008,1/5/2024,Lufthansa,UN175,ORD,LHR,1/5/2024 7:00,1/5/2024 7:10,57,1/5/2024 11:00,1/5/2024 11:15,175,291,Terminal 5,G25,Delayed
489388,1/5/2024,Emirates,LU933,JFK,CDG,1/5/2024 8:00,1/5/2024 8:10,15,1/5/2024 12:00,1/5/2024 12:15,121,296,Terminal 2,G23,Delayed
124421,1/5/2024,Delta,LU609,LAX,CDG,1/5/2024 9:00,1/5/2024 9:10,56,1/5/2024 13:00,1/5/2024 13:15,14,219,Terminal 2,G7,Cancelled
826768,1/5/2024,United Airlines,LU803,JFK,DXB,1/5/2024 10:00,1/5/2024 10:10,33,1/5/2024 14:00,1/5/2024 14:15,18,102,Terminal 5,G34,On Time
800324,1/5/2024,Lufthansa,DE739,ATL,DXB,1/5/2024 11:00,1/5/2024 11:10,108,1/5/2024 15:00,1/5/2024 15:15,85,211,Terminal 3,G35,Cancelled
928596,1/5/2024,Emirates,EM258,ORD,SYD,1/5/2024 12:00,1/5/2024 12:10,66,1/5/2024 16:00,1/5/2024 16:15,8,163,Terminal 1,G18,Cancelled
142618,1/5/2024,Delta,DE619,JFK,LHR,1/5/2024 13:00,1/5/2024 13:10,56,1/5/2024 17:00,1/5/2024 17:15,81,253,Terminal 1,G50,Delayed
392633,1/5/2024,Delta,EM792,ORD,SYD,1/5/2024 14:00,1/5/2024 14:10,42,1/5/2024 18:00,1/5/2024 18:15,67,386,Terminal 5,G39,Cancelled
297420,1/5/2024,Delta,UN970,DFW,DXB,1/5/2024 15:00,1/5/2024 15:10,114,1/5/2024 19:00,1/5/2024 19:15,56,275,Terminal 2,G8,On Time
965838,1/5/2024,United Airlines,LU643,JFK,SYD,1/5/2024 16:00,1/5/2024 16:10,15,1/5/2024 20:00,1/5/2024 20:15,107,120,Terminal 2,G40,On Time
617688,1/5/2024,American Airlines,DE367,ATL,SYD,1/5/2024 17:00,1/5/2024 17:10,56,1/5/2024 21:00,1/5/2024 21:15,56,74,Terminal 4,G35,On Time
455457,1/5/2024,Emirates,AM720,ORD,LHR,1/5/2024 18:00,1/5/2024 18:10,71,1/5/2024 22:00,1/5/2024 22:15,106,352,Terminal 5,G27,Cancelled
772856,1/5/2024,Lufthansa,EM247,ORD,DXB,1/5/2024 19:00,1/5/2024 19:10,36,1/5/2024 23:00,1/5/2024 23:15,93,275,Terminal 4,G49,Delayed
308746,1/5/2024,United Airlines,UN114,JFK,SYD,1/5/2024 20:00,1/5/2024 20:10,-1,1/6/2024 0:00,1/6/2024 0:15,27,231,Terminal 4,G26,Cancelled
873650,1/5/2024,American Airlines,DE911,JFK,CDG,1/5/2024 21:00,1/5/2024 21:10,88,1/6/2024 1:00,1/6/2024 1:15,56,68,Terminal 5,G6,Cancelled
210326,1/5/2024,Emirates,UN793,LAX,SYD,1/5/2024 22:00,1/5/2024 22:10,106,1/6/2024 2:00,1/6/2024 2:15,118,246,Terminal 4,G14,Cancelled
448551,1/5/2024,United Airlines,UN701,DFW,LHR,1/5/2024 23:00,1/5/2024 23:10,91,1/6/2024 3:00,1/6/2024 3:15,121,242,Terminal 5,G10,Delayed
958285,1/5/2024,Lufthansa,AM434,ORD,SYD,1/6/2024 0:00,1/6/2024 0:10,41,1/6/2024 4:00,1/6/2024 4:15,107,365,Terminal 5,G38,Cancelled
567429,1/5/2024,American Airlines,UN948,ATL,HND,1/6/2024 1:00,1/6/2024 1:10,92,1/6/2024 5:00,1/6/2024 5:15,66,353,Terminal 5,G20,On Time
471631,1/5/2024,Lufthansa,EM595,ATL,CDG,1/6/2024 2:00,1/6/2024 2:10,103,1/6/2024 6:00,1/6/2024 6:15,80,103,Terminal 5,G2,Cancelled
775937,1/5/2024,United Airlines,UN909,ATL,DXB,1/6/2024 3:00,1/6/2024 3:10,56,1/6/2024 7:00,1/6/2024 7:15,31,400,Terminal 3,G26,On Time
797114,1/5/2024,American Airlines,AM723,JFK,LHR,1/6/2024 4:00,1/6/2024 4:10,66,1/6/2024 8:00,1/6/2024 8:15,38,378,Terminal 2,G16,Delayed
238697,1/5/2024,United Airlines,UN146,DFW,DXB,1/6/2024 5:00,1/6/2024 5:10,120,1/6/2024 9:00,1/6/2024 9:15,87,115,Terminal 1,G24,Delayed
285978,1/6/2024,Lufthansa,AM589,JFK,LHR,1/6/2024 6:00,1/6/2024 6:10,39,1/6/2024 10:00,1/6/2024 10:15,104,329,Terminal 1,G31,Delayed
750950,1/6/2024,Lufthansa,DE319,ATL,SYD,1/6/2024 7:00,1/6/2024 7:10,114,1/6/2024 11:00,1/6/2024 11:15,32,210,Terminal 2,G12,On Time
437895,1/6/2024,Lufthansa,LU582,LAX,HND,1/6/2024 8:00,1/6/2024 8:10,60,1/6/2024 12:00,1/6/2024 12:15,149,252,Terminal 2,G17,On Time
154984,1/6/2024,Lufthansa,AM869,ORD,HND,1/6/2024 9:00,1/6/2024 9:10,49,1/6/2024 13:00,1/6/2024 13:15,8,315,Terminal 4,G30,Delayed
850977,1/6/2024,Emirates,DE257,ORD,CDG,1/6/2024 10:00,1/6/2024 10:10,58,1/6/2024 14:00,1/6/2024 14:15,53,218,Terminal 3,G26,Delayed
664532,1/6/2024,Emirates,DE477,JFK,LHR,1/6/2024 11:00,1/6/2024 11:10,69,1/6/2024 15:00,1/6/2024 15:15,153,339,Terminal 1,G14,On Time
359826,1/6/2024,Delta,UN909,LAX,SYD,1/6/2024 12:00,1/6/2024 12:10,79,1/6/2024 16:00,1/6/2024 16:15,162,190,Terminal 2,G39,Cancelled
963232,1/6/2024,American Airlines,UN519,DFW,HND,1/6/2024 13:00,1/6/2024 13:10,58,1/6/2024 17:00,1/6/2024 17:15,5,199,Terminal 1,G36,Cancelled
686099,1/6/2024,American Airlines,UN757,ORD,SYD,1/6/2024 14:00,1/6/2024 14:10,-5,1/6/2024 18:00,1/6/2024 18:15,43,90,Terminal 3,G23,Cancelled
512785,1/6/2024,Emirates,EM631,ORD,DXB,1/6/2024 15:00,1/6/2024 15:10,66,1/6/2024 19:00,1/6/2024 19:15,125,265,Terminal 2,G31,Cancelled
137516,1/6/2024,Lufthansa,EM310,JFK,HND,1/6/2024 16:00,1/6/2024 16:10,41,1/6/2024 20:00,1/6/2024 20:15,51,196,Terminal 3,G49,Delayed
307440,1/6/2024,Delta,DE567,ATL,SYD,1/6/2024 17:00,1/6/2024 17:10,1,1/6/2024 21:00,1/6/2024 21:15,56,342,Terminal 1,G10,Delayed
711568,1/6/2024,Emirates,EM632,JFK,SYD,1/6/2024 18:00,1/6/2024 18:10,71,1/6/2024 22:00,1/6/2024 22:15,26,171,Terminal 1,G26,Cancelled
161748,1/6/2024,Emirates,LU664,LAX,DXB,1/6/2024 19:00,1/6/2024 19:10,69,1/6/2024 23:00,1/6/2024 23:15,82,155,Terminal 3,G43,On Time
323250,1/6/2024,Delta,DE923,ATL,LHR,1/6/2024 20:00,1/6/2024 20:10,30,1/7/2024 0:00,1/7/2024 0:15,139,100,Terminal 2,G45,Cancelled
545121,1/6/2024,American Airlines,AM362,ORD,CDG,1/6/2024 21:00,1/6/2024 21:10,3,1/7/2024 1:00,1/7/2024 1:15,42,92,Terminal 1,G34,Cancelled
619781,1/6/2024,Lufthansa,DE840,LAX,LHR,1/6/2024 22:00,1/6/2024 22:10,56,1/7/2024 2:00,1/7/2024 2:15,19,94,Terminal 4,G21,On Time
405279,1/6/2024,Emirates,UN457,LAX,HND,1/6/2024 23:00,1/6/2024 23:10,-5,1/7/2024 3:00,1/7/2024 3:15,158,213,Terminal 4,G3,Delayed
682185,1/6/2024,Delta,DE380,ORD,SYD,1/7/2024 0:00,1/7/2024 0:10,12,1/7/2024 4:00,1/7/2024 4:15,169,245,Terminal 3,G1,Delayed
550203,1/6/2024,American Airlines,DE427,LAX,DXB,1/7/2024 1:00,1/7/2024 1:10,102,1/7/2024 5:00,1/7/2024 5:15,41,376,Terminal 1,G30,Cancelled
563579,1/6/2024,United Airlines,DE861,ATL,HND,1/7/2024 2:00,1/7/2024 2:10,59,1/7/2024 6:00,1/7/2024 6:15,18,327,Terminal 2,G9,Cancelled
991629,1/6/2024,American Airlines,DE666,ORD,DXB,1/7/2024 3:00,1/7/2024 3:10,34,1/7/2024 7:00,1/7/2024 7:15,168,212,Terminal 2,G36,Delayed
477559,1/6/2024,Lufthansa,DE348,ATL,LHR,1/7/2024 4:00,1/7/2024 4:10,49,1/7/2024 8:00,1/7/2024 8:15,49,209,Terminal 3,G44,Cancelled
514853,1/6/2024,Emirates,LU176,ATL,HND,1/7/2024 5:00,1/7/2024 5:10,117,1/7/2024 9:00,1/7/2024 9:15,114,64,Terminal 2,G46,Cancelled
594908,1/7/2024,Lufthansa,LU999,ORD,LHR,1/7/2024 6:00,1/7/2024 6:10,74,1/7/2024 10:00,1/7/2024 10:15,10,137,Terminal 5,G20,On Time
485061,1/7/2024,Emirates,DE102,JFK,SYD,1/7/2024 7:00,1/7/2024 7:10,103,1/7/2024 11:00,1/7/2024 11:15,101,248,Terminal 3,G15,Delayed
994881,1/7/2024,American Airlines,DE382,ATL,SYD,1/7/2024 8:00,1/7/2024 8:10,1,1/7/2024 12:00,1/7/2024 12:15,1,114,Terminal 5,G33,Cancelled
313257,1/7/2024,United Airlines,UN939,DFW,HND,1/7/2024 9:00,1/7/2024 9:10,33,1/7/2024 13:00,1/7/2024 13:15,126,100,Terminal 3,G42,Cancelled
